Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C7",0805,2,C100nF,C49678
C2,1206,1,C10uF,C13585
C3,1206,1,C4.7uF,C29823
C4,CP_Elec_10x10.5,1,C_330uF,C190287
C6,0805,1,C22nF 50V,C1729
C8,1206,1,C2.2-4.7uF ceramic,C29823
D2,0805,1,LED,C84256
D3,D_SOD-123,1,D_TVS_5V,C478011
J1,IDC-Header_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even C5665,C5665
J2,TerminalBlock_RND_205-00014_1x04_P5.00mm_Horizontal,1,Screw_Terminal_01x04,C3034542
J3,TestPoint_Keystone_5010-5014_Multipurpose,1,Conn_01x02_Socket,
"JP1, JP2, JP3",SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,3,SolderJumper_3_Open,
"R11, R12",2010,2,R100mOHM,C175979
R4,0805,1,R330,C17630
R9,0805,1,R20k,C4328
RV1,Potentiometer_Bourns_3314R-GM5_Vertical,1,20k_Potentiometer,C780217
U1,QFN50P500X500X90-29N,1,TMC2209-LA,C465949
